seller_id,category,seller_tier_city,join_day,tenure_days,order_count,avg_monthly_revenue,avg_rating,return_rate,support_tickets_total,order_velocity_30d_change,rating_trend_90d,pricing_competitiveness,sla_breach_rate,days_since_last_order,churned
SLR000001,Mobiles & Accessories,Tier-2 City,283,447,254,12812.26,3.3,0.2348,4,-0.2775,-0.1051,0.5448,0.1628,4,0
SLR000002,Fashion,Tier-1 Metro,560,170,224,52098.5,3.55,0.2796,5,-0.3392,-0.1535,0.3382,0.2546,83,1
SLR000003,Toys & Baby,Tier-2 City,161,569,2287,158045.08,3.99,0.1796,3,-0.551,-0.2537,0.7365,0.124,19,0
SLR000004,Toys & Baby,Tier-1 Metro,451,279,1017,142483.32,4.25,0.0981,3,0.3922,0.0588,0.9479,0.0,26,1
SLR000005,Beauty & Personal Care,Tier-3 Town,522,208,537,79781.26,2.59,0.2864,5,-0.1053,-0.305,0.2906,0.3,56,1
SLR000006,Grocery,Tier-1 Metro,575,155,138,23075.17,3.85,0.1001,7,-0.5665,-0.0552,0.5146,0.1349,36,1
SLR000007,Toys & Baby,Tier-3 Town,67,663,1319,54820.29,4.08,0.2255,6,0.0757,-0.113,0.8446,0.2263,3,0
SLR000008,Toys & Baby,Tier-2 City,228,502,1660,68615.84,3.78,0.1721,10,-0.0071,-0.155,0.9181,0.1948,7,0
SLR000009,Fashion,Tier-1 Metro,199,531,1399,75159.27,4.1,0.2948,10,-0.4282,-0.0277,0.7501,0.1094,32,0
SLR000010,Fashion,Tier-1 Metro,461,269,375,53720.03,3.7,0.2505,10,0.2633,-0.066,0.659,0.192,101,1
SLR000011,Toys & Baby,Tier-2 City,613,117,47,7392.3,3.31,0.2109,8,-0.2336,-0.2642,0.5656,0.3407,5,1
SLR000012,Electronics,Tier-1 Metro,0,730,1046,42841.98,3.16,0.158,8,0.0518,-0.1488,0.8466,0.1754,0,0
SLR000013,Electronics,Tier-1 Metro,629,101,206,45653.8,4.55,0.1338,6,0.3513,0.1952,0.9626,0.0573,6,0
SLR000014,Electronics,Tier-1 Metro,387,343,250,28213.54,3.93,0.2013,11,0.2305,0.1179,0.5197,0.1436,2,0
SLR000015,Beauty & Personal Care,Tier-3 Town,138,592,1407,91727.73,4.23,0.2399,5,0.2422,-0.0721,0.6006,0.2672,14,0
SLR000016,Sports & Fitness,Tier-1 Metro,403,327,710,82205.56,3.2,0.1627,6,-0.2446,-0.2578,0.5187,0.2649,40,1
SLR000017,Home & Kitchen,Tier-2 City,358,372,270,17983.37,3.47,0.1744,5,0.2735,-0.2143,0.5473,0.1214,5,1
SLR000018,Mobiles & Accessories,Tier-3 Town,0,730,1117,64103.65,3.37,0.3594,12,-0.5539,-0.2963,0.6863,0.2374,49,1
SLR000019,Electronics,Tier-1 Metro,0,730,543,17663.77,3.61,0.1535,4,-0.2231,-0.5535,0.6048,0.101,26,0
SLR000020,Grocery,Tier-2 City,0,730,663,13223.41,3.03,0.1756,10,-0.1662,0.017,0.5431,0.1209,47,1
SLR000021,Toys & Baby,Tier-1 Metro,430,300,480,42587.51,3.4,0.1857,7,0.2432,0.2117,0.6653,0.1735,48,1
SLR000022,Sports & Fitness,Tier-1 Metro,457,273,251,16676.16,3.95,0.113,4,0.3046,-0.1166,0.6924,0.1484,7,0
SLR000023,Fashion,Tier-3 Town,558,172,168,37935.66,2.81,0.3806,10,-0.9229,0.1019,0.4126,0.3337,20,1
SLR000024,Grocery,Tier-2 City,641,89,98,34753.95,3.83,0.1249,2,-0.0703,-0.3703,0.7703,0.1722,9,0
SLR000025,Toys & Baby,Tier-2 City,521,209,325,49860.29,3.88,0.167,4,0.0459,0.1074,0.4599,0.1825,0,0
